ein,total_revenue,program_expenses,tax_year,efficiency_ratio
13-2795194,3928956.0,3386311.0,2023,0.8618857019523761
13-2846967,2278582.0,1459558.0,2023,0.6405553980501909
13-2850133,3103757.0,4107370.0,2023,1.3233542445494284
13-2951474,11892238.0,9695028.0,2024,0.8152399909924439
13-2954140,367591.0,621323.0,2023,1.6902562902791418
13-2997301,1628345493.0,1725289600.0,2023,1.059535342724715
13-3004772,1192157.0,1650123.0,2023,1.3841490676144166
13-3042331,3802663.0,4002548.0,2023,1.0525644791557915
13-3137595,50377524.0,50361096.0,2023,0.999673902194955
13-3171862,2495437.0,2691369.0,2023,1.0785161075995908
13-3176952,4310290.0,3715946.0,2023,0.8621104380447719
13-3189285,1057952.0,1060129.0,2023,1.002057749311878
13-3202014,6029288.0,6098929.0,2023,1.011550451728297
13-3222083,1687076.0,2007813.0,2023,1.1901141383079363
13-3230516,1702592.0,1694853.0,2023,0.9954545774912604
13-3248777,2145549.0,2002288.0,2023,0.9332287447175525
13-3275044,1622617.0,1656437.0,2023,1.0208428729638603
13-3376278,2382922.0,2237923.0,2023,0.939150756927839
13-3434410,1654642.0,1501598.0,2023,0.9075062762821202
13-3460251,1744409.0,2244787.0,2023,1.286846720006604
13-3514343,7561810.0,9750914.0,2023,1.2894947109223849
13-3520270,1149138.0,1189853.0,2023,1.0354309056005457
13-3540337,7193862.0,7048706.0,2023,0.9798222429065222
13-3541913,275572075.0,298156461.0,2023,1.0819545521802236
13-3555702,1331631.0,1375394.0,2023,1.032864209379325
13-3570544,2293345.0,2398543.0,2023,1.045870987574918
13-3629594,1487472.0,1162019.0,2023,0.7812039487129842
13-3641265,3921676.0,3460919.0,2023,0.8825101818712203
13-3660633,3495748.0,3385972.0,2023,0.9685972787512144
13-3685749,2521649.0,2575487.0,2023,1.021350314813838
13-3705921,1337971.0,1126856.0,2023,0.8422125741140877
13-3778489,10789755.0,10731611.0,2024,0.9946111844059481
13-3806082,2030819.0,2197680.0,2023,1.0821643878651914
13-3808669,5950446.0,5219399.0,2023,0.8771441670086578
13-3842270,2004097.0,2156817.0,2023,1.0762038963183918
13-3846708,4846250.0,2019815.0,2023,0.4167789527985556
13-3857947,1852122.0,2216417.0,2023,1.1966906067742837
13-3865179,960055.0,1209427.0,2023,1.2597476186260161
13-3893574,2544897.0,1134408.0,2023,0.44575792261926517
13-3907908,2067990.0,1855140.0,2023,0.8970739703770327
13-3911982,1046050.0,1040512.0,2023,0.9947057980020075
13-3944300,1406766.0,1305169.0,2023,0.9277797444635426
13-3960661,17036290.0,16052550.0,2023,0.9422562071906501
13-3986958,1792265.0,2088600.0,2023,1.1653410628450591
13-3995933,1341837.0,1644865.0,2023,1.2258307082007724
13-4031037,17171940.0,2493986.0,2023,0.14523612358300808
13-4078893,933232.0,1172053.0,2023,1.2559074270920842
13-4086734,5165600.0,4273558.0,2023,0.8273110577667647
13-4103927,827465.0,1155627.0,2023,1.3965871668288086
13-4119996,12892121.0,13499036.0,2023,1.0470764275327542
13-4154583,1245685.0,1531559.0,2023,1.2294914043277394
13-4159739,3208928.0,2635865.0,2023,0.8214160616878908
13-4196230,766669.0,730658.0,2023,0.953029273389168
13-4200638,13420965.0,13287939.0,2023,0.9900881941052674
13-4252173,2622362.0,2954283.0,2023,1.126573295372645
13-5562314,682582586.0,638143341.0,2023,0.9348954311002595
13-6206256,922350.0,1076708.0,2023,1.1673529571203989
13-6222626,619076.0,842079.0,2023,1.3602191007243052
14-1510347,969199.0,945006.0,2023,0.9750381500599979
14-1622578,1585292.0,1633360.0,2023,1.0303212278873546
14-1626314,4691510.0,4591902.0,2023,0.9787684562113265
14-1633606,3710847.0,2528666.0,2024,0.6814255613341105
14-1705132,858123.0,809665.0,2023,0.9435302398374126
14-1763507,656958.0,771360.0,2023,1.174138986053903
14-1763863,3083057.0,2981250.0,2023,0.9669785540779817
14-1798918,976756.0,1984369.0,2023,2.031591308371794
14-1828476,2413950.0,1902816.0,2023,0.7882582489281054
14-1909094,1260825.0,1911256.0,2023,1.5158773025598318
14-6000805,8865079.0,9626886.0,2023,1.0859334699668215
15-0532221,488938807.0,521600354.0,2023,1.0668008890527685
15-0532279,3554660.0,4003270.0,2023,1.1262033499687734
16-0743966,143128259.0,124993057.0,2023,0.8732940501987102
16-0746860,25206986.0,27623727.0,2023,1.0958758417210213
16-0863402,1700737.0,1810170.0,2023,1.0643444577262682
16-0919175,8278109.0,8459150.0,2023,1.0218698497446699
16-0991179,1902894.0,1909796.0,2023,1.0036271069224034
16-0992023,2419636.0,2531859.0,2023,1.046380116678707
16-1005972,4708211.0,4609134.0,2023,0.9789565505878984
16-1265765,2925160.0,1773423.0,2023,0.6062652983084686
16-1303858,965221.0,1163581.0,2023,1.205507339769856
16-1330593,1180339.0,988438.0,2023,0.8374187415649234
16-1397267,983417.0,1145412.0,2023,1.1647266622399246
16-1463095,689035.0,636589.0,2023,0.9238848534544689
16-1488538,2383138.0,2642231.0,2023,1.108719260068028
16-1544656,2367171.0,2393417.0,2023,1.0110874964250576
16-1554144,912859.0,944920.0,2023,1.0351215247918901
16-1559032,1660056.0,1588224.0,2023,0.9567291705821972
16-1562738,2070530.0,1970985.0,2023,0.9519229376053474
16-1564650,5626529.0,6154421.0,2023,1.0938219637719808
16-1576637,485808252.0,480980012.0,2023,0.9900614285983763
16-1583317,804174.0,604726.0,2023,0.751984023358129
16-6026922,1721603.0,12812.0,2023,0.007441901530143709
20-0177587,2483013.0,2104124.0,2023,0.8474075649221329
20-0194563,5497645.0,5263865.0,2023,0.9574763375954614
20-0670312,5043720.0,4470494.0,2023,0.8863485681203556
20-0774906,5749291.0,4386624.0,2023,0.7629852098284815
20-0814999,4732245.0,3341494.0,2021,0.7061117926058351
20-0845890,1527596.0,1651336.0,2023,1.0810030924406715
20-1209795,3824284.0,2938045.0,2023,0.7682601501352933
20-1980713,2131112.0,2156633.0,2023,1.0119754381749997
20-2001667,1102685.0,1469744.0,2023,1.3328774763418383
20-2985867,1591072.0,1836280.0,2023,1.1541149614850867
20-3055055,1024756.0,1010713.0,2023,0.9862962500341544
20-3558447,4627872.0,4973306.0,2023,1.0746420817170397
20-4158996,168222.0,350.0,2023,0.002080583990203422
20-5128371,883006.0,1107657.0,2023,1.2544161647825722
20-5529890,11573036.0,11699867.0,2023,1.0109591813245893
20-5555166,1646439.0,1239316.0,2023,0.7527251237367434
20-5928151,5736724.0,5370230.0,2023,0.9361144095480277
20-8317595,550000.0,582775.0,2022,1.059590909090909
20-8497991,83384408.0,32943033.0,2023,0.39507425656844625
21-0634462,2041378524.0,1848133661.0,2022,0.9053360948358835
22-1487148,148126429.0,142085023.0,2018,0.9592145301767857
22-1487307,1153072946.0,1035353094.0,2023,0.897907714851546
22-1539559,12589156.0,13204501.0,2023,1.0488789717118447
22-1629144,26417957.0,24635199.0,2024,0.9325171889711229
22-1643997,41299211.0,35465262.0,2023,0.8587394563058359
22-1945368,7186239.0,4475721.0,2023,0.6228182781006866
22-2130220,7112015.0,7593126.0,2023,1.0676476357263025
22-2155884,4807989.0,3819951.0,2023,0.7945007777680024
22-2185298,1516855.0,1897700.0,2023,1.2510754159098925
22-2220531,1198702.0,1106874.0,2023,0.923393804298316
22-2267191,2116065.0,2014744.0,2023,0.9521182005278666
22-2279292,1802486.0,1672617.0,2023,0.927950064521999
22-2304615,1875777.0,2301668.0,2023,1.2270477780674356
22-2317109,2685655.0,1908435.0,2023,0.7106031861873546
22-2335549,3405189.0,2199901.0,2023,0.6460437291439624
22-2391978,2149249.0,2225162.0,2023,1.0353207096990624
22-2479448,2144478.0,427848.0,2024,0.19951148950933514
22-2519813,106293114.0,108219048.0,2023,1.0181190853059399
22-2536262,831850.0,870092.0,2023,1.0459722305704153
22-2536446,50180184.0,25670517.0,2023,0.511566816893298
22-2583590,5257060.0,5158720.0,2023,0.9812937269120002
22-2597592,2797743.0,4970220.0,2023,1.776510565838249
22-2598255,3389010.0,3153897.0,2023,0.9306248727504493
22-2670688,1361304.0,1204545.0,2023,0.8848464413532907
